"PRIORITY","CONFIDENCE","BRAND","SUB_SEGMENT","URL","FOUNDER_NAME","FOUNDER_LINKEDIN","FOUNDER_X","INSTAGRAM","EMAIL","FIT_SIGNAL","PERSONALIZATION_HOOK"
"A","high","Alice Mushrooms","Functional mushroom chocolates (focus/sleep/mood)","https://alicemushrooms.com/","Charlotte Cruze & Lindsay Goodstein","https://www.linkedin.com/in/charlotte-cruze-71455065/","unknown","@alice.mushrooms","enrich","Raised oversubscribed $8M Series A (Sept 2025, led by NewBound, Unilever Ventures, Tiesto) on top of earlier L Catterton/Zac Efron round; revenue went 7-figures yr1 to projected 8-figures 2025. Growth-stage challenger actively scaling DTC + retail (Erewhon, Sprouts) - prime $20-100K/mo ad tier.","Their named SKUs (Brainstorm for focus, Nightcap for sleep) lean heavily on whimsical Alice-in-Wonderland branding and influencer seeding (100-200 influencers at launch with handwritten notes) - but reviews on Thingtesting are polarized on 'does it actually work,' a perfect angle for efficacy-driven UGC creative that shows real users feeling the effect."
"A","high","Brēz","Functional social tonic (microdose THC + lion's mane mushroom)","https://drinkbrez.com","Aaron Nosbisch","https://www.linkedin.com/in/aaronnosbisch/","unknown","@drinkbrez","enrich","Founded 2023, ~$28M revenue in 2024 and projected >$50M in 2025. Founder has publicly stated they spend ~$1M/month on advertising and 'build in public' across Meta, TikTok and Twitter. Squarely in (actually above) the growth-stage paid-social tier and a heavy creative buyer.","Aaron openly talks about spending near $1M/month on ads and 'building Brez in public' on podcasts (High Spirits, Shopify Happy Hour). A note referencing his build-in-public philosophy plus the volume of UGC testimonial creative Brez runs would land directly."
"A","high","Clevr Blends","Instant adaptogenic SuperLattes (coffee/matcha/cacao oat-milk lattes)","https://clevrblends.com","Hannah Mendoza (co-founder/CEO), Roger Coppola (co-founder)","https://www.linkedin.com/in/hannah-mendoza-clevr/","unknown","@clevrblends","enrich","Founded 2018, Santa Barbara CA. Backed by Meghan Markle; viral Oprah moment caused 2-month sellout. Now in Target + DTC with constant seasonal SKU launches (Honey Lavender Matcha, London Fog, Iced Strawberry Matcha). Heavy aesthetic Meta/IG presence typical of a growth-stage DTC spending in the tens of thousands monthly. Smaller than the giants (est. low-8-figure revenue), founder-led.","Their matcha SuperLatte line keeps spinning out limited drops (Iced Strawberry Matcha, Honey Lavender, London Fog) - a clear sign they value fresh creative; a UGC angle showing the 'add water + froth' ritual on these seasonal flavors writes itself."
"A","high","Hiyo","Functional non-alcoholic social tonic (adaptogens + nootropics)","https://drinkhiyo.com","Evan Quinn","unknown","unknown","@drinkhiyo","enrich","Raised ~$20M including a 2025 minority investment from Constellation Brands Ventures; still founder-led and independent. Growing fast in the 'social tonic' category with active DTC + paid social. Mid-tier challenger, well inside the spend band.","Co-founders Evan Quinn and George Youmans started Hiyo after family members were hospitalized with alcohol-related issues - an emotionally rich founder story their ads under-use. Pitching founder-story UGC angles ties directly to their 'The Float' feel-good positioning."
"A","high","Kiala Nutrition (Kiala Greens)","Greens & superfood powder (women-focused)","https://kialanutrition.com","Pete Christel & Jack Szymczak","https://www.linkedin.com/in/pete-christel/","unknown","@kialanutrition","enrich","Founded 2021, Miami-based, 500K+ customers. Markets a flavored greens powder specifically to women, calls itself 'TikTok's #1 Greens' and an Amazon bestseller. Heavy influencer/UGC-driven growth, multiple flavors (Carnival Candy etc). Squarely a growth-stage DTC greens challenger in the target spend tier.","Co-founder Pete Christel posted publicly on LinkedIn about building Kiala from scratch over 2.5 years with Jack Szymczak. Their whole positioning is 'flavors you'll actually crave' aimed at women 18-35 - the brand lives and dies on dessert-flavored greens (Carnival Candy). A perfect candidate for taste-test reaction UGC creative."
"A","high","Kin Euphorics","Adaptogen + nootropic non-alcoholic euphoric drinks","https://www.kineuphorics.com","Jen Batchelor","unknown","unknown","@kineuphorics","enrich","$11M net revenue in 2024 (up ~38% YoY), ~$50M lifetime sales, ~$15M raised, and ran a 2025 DealMaker community raise. Co-founder Bella Hadid drives heavy brand/social content. Classic growth-stage mid-tier - bigger than a hobby brand, smaller than a giant.","Bella Hadid co-founder content carries the brand, but the DTC funnel leans on her face rather than diversified customer UGC. An opener noting the gap between celebrity hero content and scalable customer-testimonial creative is a precise wedge."
"A","high","Live it Up (Super Greens)","Greens & superfood powder","https://letsliveitup.com","Haim Nigri","https://www.linkedin.com/in/haimnigri (verify)","unknown","@letsliveitup","enrich","Single-SKU greens powder (Superfoods Inc. dba Live it Up) positioned as the leading AG1 alternative at ~$1.33/serving. Heavy DTC performance-marketing operation, consistently #1 in 'best AG1 alternative' listicles, strong subscription model. Classic single-hero-product greens challenger in the $20-100K/mo Meta+TikTok tier.","Live it Up is the brand most often crowned the #1 AG1 alternative by dietitians, and runs aggressive price-anchored comparison ads ('half the price of AG1'). Their creative leans hard on side-by-side AG1 comparisons rather than authentic UGC testimonial hooks - a clear creative gap for fresh founder/customer-story UGC. (Note: brand navigated a 2026 Salmonella/moringa recall - sensitivity advised in outreach.)"
"A","high","London Nootropics","Adaptogenic instant coffee blends (Flow/Mojo/Zen - lion's mane, rhodiola, cordyceps, ashwagandha)","https://londonnootropics.com","Zain Peer (co-founder), Shez Shaikh (co-founder)","https://www.linkedin.com/in/zain-peer/","unknown","@londonnootropics","enrich","Founded 2020, London. Appeared on Dragons' Den (secured offers from Deborah Meaden & Sara Davies), now ~20,000 customers/month with strong subscription growth. Founder-led, PR-heavy, clearly running paid acquisition - right in the mid-tier challenger band.","Post-Dragons' Den they leaned into replenishment/subscription (case study: +36% replenishment revenue with Relo) - a retention-minded founder; creative built around the three distinct blends (Flow vs Mojo vs Zen by use-case) would map cleanly onto their existing positioning."
"A","high","Magic Mind","Nootropic + adaptogen productivity shot","https://magicmind.com","James Beshara","https://www.linkedin.com/in/jjbeshara","https://twitter.com/jamesbeshara","@magicmind","enrich","Raised ~$30M total (Series A) and is a heavy DTC paid-social and affiliate/creator advertiser. Active across Meta and YouTube with constant testimonial/UGC creative. Growth-stage challenger in the productivity-shot niche, not a soda giant.","James is a prolific angel/podcaster who tells the '67 investor no's' origin story publicly; Magic Mind leans hard on creator/affiliate UGC. An opener referencing their reliance on creator testimonial shots and offering to systematize fresh AI-UGC angles fits their existing playbook."
"A","high","Moment","Botanical + adaptogen calming/focus drinks ('meditation in a can')","https://drinkmoment.com","Aisha Chottani","https://www.linkedin.com/in/aishachottani","unknown","@drinkmoment","enrich","Founded 2020, HBS-founder-led, DTC-first with strong subscription base and active Meta/TikTok presence. Independent and growth-stage; well-known mid-tier adaptogen drink without giant-scale spend.","Aisha built Moment around South Asian botanicals her family used (ashwagandha, tulsi, ginseng) + L-theanine for 'awake calm.' An opener tying that authentic family-heritage story to founder-led UGC, and noting their 'Drink Your Meditation' brand line, is highly specific."
"A","high","Neutonic","Nootropic productivity/focus drink (Cognizin, L-theanine, rhodiola)","https://www.neutonic.com","Chris Williamson & James Smith","unknown","https://twitter.com/ChrisWillx","@neutonic","enrich","Founded 2023, raised ~$3.7M (£2.7m), sold 7.5M+ cans, hit #1 on Amazon energy/grocery, valued ~$20M within 18 months. Influencer-founded with huge built-in audience and heavy paid social/creator spend. Growth-stage challenger.","Founders Chris Williamson (Modern Wisdom podcast) and James Smith have a combined 10M+ following and built Neutonic largely on their own content. The dependency on the two founders' faces leaves a gap for diversified customer/creator UGC - a precise opener for an AI-UGC pitch."
"A","high","Odyssey Elixir","RTD functional mushroom energy drinks (lion's mane + cordyceps sparkling cans)","https://odysseyelixir.com","Scott Frohman","unknown","unknown","@odysseyelixir","enrich","Founded 2020/2022, Fort Lauderdale FL. Raised $14.3M total ($6M Series A Feb 2024). In 9,200+ retail locations (Publix, CVS, GNC, 7-Eleven, Wegmans, Erewhon). Funded, fast-scaling, active on IG/TikTok - a growth-stage brand that needs DTC creative to drive trial and retail velocity.","They rebranded around a 'Straight Up Energy' identity and split into Core / 222 / Revive lines - a brand actively repositioning, which is exactly when fresh ad creative (e.g., the 222 high-caffeine SKU vs Monster/Celsius) matters most."
"A","high","Rasa","Adaptogenic herbal coffee alternative (cacao/matcha instant blends, caffeine-free + low-caf)","https://wearerasa.com","Lopa van der Mersch","https://www.linkedin.com/in/lopa-van-der-mersch/","unknown","@wearerasa","enrich","Founded 2018, Boulder CO. ~$12M cumulative revenue, GAAP profitable, 100K+ customers, 50% subscriber retention, raised $3.25M from 2,000+ retail investors on Wefunder. Public Benefit Corp, woman-owned, founder is the public face. Classic challenger spending in the $20-100K/mo paid range - bigger than hobby, well below the giants.","Lopa is a former Celestial Seasonings senior herb buyer and clinical-herbalist who frames Rasa around 'energy without caffeine' - a founder story most coffee-alt brands can't claim; a creator testimonial contrasting the cacao Rasa vs a coffee crash leans right into her positioning."
"A","high","Spacegoods","Functional mushroom coffee-alternative powder ('Rainbow Dust' all-in-one blend)","https://spacegoods.com","Matthew Kelly","unknown","unknown","@tryspacegoods","enrich","London-based, launched April 2022. Raised £2.5M/€2.9m seed (Feb 2024) led by Five Seasons Ventures. Aggressively TikTok/UGC-driven (huge #spacegoods creator volume, dedicated TikTok creator signup + lander pages). Fast-growing functional-mushroom challenger squarely in the growth-stage ad-spend tier.","They run an open TikTok creator program with a dedicated 'Rainbow Lander' funnel - they live and die by UGC volume, so an offer to systematize/scale their creator output (vs. relying on organic #spacegoods posts) is a direct hit."
"A","high","Thesis","Personalized nootropic stacks (quiz-based blends)","https://takethesis.com/","Dan Freed","https://www.linkedin.com/in/danjfreed/","unknown","@takethesis","enrich","$13.5M raised (incl. Unilever Ventures, Kevin Love), ~$1M/mo revenue before first raise, profitable, targeting $100M/yr. Quiz-funnel DTC model that lives on paid social - a heavy and ongoing Meta spender in the right band (challenger, not giant).","Their entire model is a personalization quiz (take a quiz, get your custom blend of 6 formulas). Their ads lean educational/founder-story - a fresh angle would be UGC creators filming their quiz-to-results journey. Founder Dan Freed has a strong personal narrative (former line cook who failed out of school, then MBA at Yale)."
"A","high","Wildwonder","Prebiotic + probiotic sparkling gut-health soda (challenger to Olipop/Poppi)","https://drinkwildwonder.com","Rosa Li","https://www.linkedin.com/in/rosa-li-wildwonder","unknown","@drinkwildwonder","enrich","Raised ~$2.1M seed + $500K Shark Tank deal (Tony Xu); sales grew 300-400% post-air, expanded to 2,000+ stores. Founder-led, fast-growing prebiotic-soda challenger - exactly the growth-stage tier, not an Olipop-scale giant.","Rosa Li (active on IG as @rosalisays) built Wildwonder from a personal gut-health crisis and her grandmother's herbal teas - a founder-story and AAPI-heritage angle their ads under-leverage versus the bigger prebiotic-soda giants. Strong wedge for founder-led UGC."
"A","medium","Auri Nutrition","Super mushroom adaptogen gummies (focus, immunity, calm)","https://www.tryauri.com","Evan Johansen (founder)","https://www.linkedin.com/in/evanjohansen/","unknown","@aurinutrition","enrich","Launched 2023 with 'world's first super mushroom daily gummies' (10-12 mushroom blend), claims 100K+ social community and strong Amazon + DTC sales. Described in listicles as a 'viral heavyweight' in mushroom gummies. Single-founder, ad-driven DTC growth brand sitting squarely in challenger tier.","Auri runs the 'kitchen sink' 12-mushroom all-in-one gummy positioning ('one-and-done multivitamin approach') and a 90%+ absorption claim. Their creative leans on benefit-stacking; a UGC opener could contrast their dense ingredient deck with a simple 'which of these 12 mushrooms is actually doing the work for you?' testimonial hook."
"A","medium","First Person","Nootropic functional-mushroom supplements (dopamine/focus, GABA/sleep)","https://getfirstperson.com/","Chris Claussen & Joe Claussen","https://www.linkedin.com/in/chris-claussen-59518116a/","unknown","@getfirstperson","enrich","Founder-led brothers, precision-targeted cognitive SKUs (Sunbeam/Golden Hour/Moonlight) mapped to neurotransmitters. DTC-focused brand in the Onnit-adjacent nootropic-mushroom challenger tier; plausible $20-100K/mo on Meta.","Deeply personal founder story - both brothers carry the ApoE4 Alzheimer's gene and built the brand after watching their father and grandfather decline. That authentic 'why' is gold for a founder-narrative UGC ad they're likely underusing in cold-traffic creative."
"A","medium","Grummies","Single-superfood adaptogen gummies (Ashwagandha, ACV, Elderberry, Turmeric)","https://www.eatyourgrummies.com","Nick Michlewicz & Colin Darretta (co-founders)","https://www.linkedin.com/in/colindarretta/","unknown","@grummies","enrich","Launched 2021, single-ingredient superfood gummies (ashwagandha for calm/sleep is hero SKU), only 3g organic sugar. Co-founder Colin Darretta also founded DojoMojo/WellPath, so this is an experienced DTC operator team — exactly the founder-reachable, performance-marketing-savvy profile.","Grummies' hook is 'ashwagandha tastes like dirt — we made it taste like candy,' and they keep formulas single-ingredient (no kitchen-sink blends). A UGC ad built around the taste-vs-benefit objection ('the supplement you'll actually take because it tastes good') fits their messaging, and Colin Darretta's DTC-operator background means he'll grok the agency pitch immediately."
"A","medium","Mojo (Gwella)","Nootropic + adaptogen mushroom gummies (focus, mood, energy)","https://mojo.shop","Stefany Nieto, Daniel Sanders & Peter Reitano (co-founders)","https://www.linkedin.com/company/gwella/","unknown","@mojomicrodose","enrich","Toronto-based (Gwella parent, US+UK satellite offices), pitched and got a deal on Dragons' Den 2024, raised ~$5M pre-seed/seed. Pure functional gummy brand with nootropic+adaptogen+mushroom blend, microdose positioning. Funded, growth-stage, founder-led — textbook fit.","Mojo's whole brand is 'microdose' coded (handle @mojomicrodose) and they got a televised Dragons' Den deal in 2024 — a creator/UGC ad that plays on the 'legal microdose for your morning' curiosity gap, plus the founders' Chief Science Officer (Daniel Sanders, mushroom extraction PhD) credibility, is an easy opener."
"A","medium","Plant People","Adaptogenic mushroom gummies (WonderDay, WonderCalm, WonderSleep)","https://www.plantpeople.co","Gabe Kennedy & Hudson Gaines-Ross (co-founders)","https://www.linkedin.com/in/gabekennedy/","unknown","@plantpeople","enrich","Founded 2018, raised Series A (Unilever Ventures participated), recent investment from Manna Tree (2025). WonderCalm gummies = 900mg ashwagandha + Reishi + L-theanine; in Whole Foods & Sprouts plus DTC. Funded, scaling, founder-as-face — strong mid-tier challenger.","WonderCalm's 900mg ashwagandha + Reishi + L-theanine 'calm without drowsiness' claim is a clear differentiator vs. melatonin-based competitors. Founder Gabe Kennedy is a Top Chef alum and frequent podcast guest — a UGC angle pairing his on-camera credibility with a 'why I put 900mg ashwagandha in one gummy' founder explainer is a natural hook."
"A","medium","Recess","Magnesium + adaptogen mood/relaxation sparkling water and powders","https://takearecess.com","Ben Witte","https://www.linkedin.com/in/benwitte","unknown","@takearecess","enrich","Well-funded category pioneer (the 'Red Bull for relaxation') with Recess Mood line in retail (HEB, Kroger) and active DTC. Established challenger that still buys paid social heavily; mid-tier, not a Liquid Death-scale giant.","Recess has a famously strong pastel/illustrated brand aesthetic but relatively little raw customer-UGC in its funnel. Founder Ben Witte coined 'Red Bull for relaxation' - an opener contrasting their polished brand art with scalable real-person UGC for the Mood line is a clean angle."
"A","medium","Troop","Functional mushroom gummies (focus, calm, sleep, immunity)","https://troopnutrition.com","Stephanie Moyal & Jake Mellman (co-founders, cousins)","https://www.linkedin.com/in/stephanie-moyal-95a4bb60/","unknown","@trytroop","enrich","LA-based pure-play functional mushroom gummy brand, founded ~2021, DTC Shopify + Erewhon/Bristol Farms retail, single-mushroom (Lion's Mane, Reishi) and Super Troop 6-mushroom blend. Strong DTC/social presence and press, classic growth-stage challenger profile to OLLY/Goli in the mushroom-gummy niche.","Troop leans hard on the 'fruiting body extract, not mycelium' purity story and single-mushroom targeted dosing (Lion's Mane for focus, Reishi for sleep) vs. competitors' kitchen-sink blends. A UGC angle showing real users picking their gummy by goal (focus vs. sleep) maps perfectly to that positioning, and the cousin-founder origin story (sparked by watching Fantastic Fungi) is a ready-made creator hook."
"A","medium","Zena Nutrition (Zena Organic Supergreens)","Greens & superfood powder (USDA organic)","https://zenanutrition.com","unknown","unknown","unknown","@zenanutrition","enrich","Launched 2024 under VitaMina Labs LLC. Already achieved strong recognition for eye-catching packaging, affordable price, USDA Certified Organic formula with 70+ superfoods. Stick packs now in Walmart/Costco but core business is still DTC + Amazda - fast-rising newcomer in exactly the growth-stage window.","Zena is one of the newest entrants (2024) and explicitly leans on 'eye-catching packaging' and the '#1 USDA Certified Organic Supergreens' claim. As a 2024 launch scaling fast, their ad creative library is still thin - prime timing to pitch a UGC creative engine before they plateau. Founder is not publicly surfaced (LinkedIn shows VitaMina Labs / Katrina Dachelet), worth enriching."
"B","high","Aplós","Functional non-alcoholic spirit + RTD (adaptogens: Suntheanine, moringa, ginseng)","https://www.aplos.world","Emily Onkey & David Fudge","https://www.linkedin.com/in/dwfudge","unknown","@aplos","enrich","Founded 2020, raised ~$10.5M total incl. a fresh $5M round in late 2025 to scale. Independent, founder-led, expanding RTD canned line - growth-stage non-alc functional brand investing in acquisition. Solid in-band fit.","Aplós just raised $5M (Nov 2025) explicitly to 'accelerate the modern non-alcoholic movement' and launched canned RTD cocktails. An opener tying the fresh capital + new RTD format to a need for high-volume launch UGC is timely and specific."
"B","high","Apothékary","Adaptogen herbal tinctures + functional drink mixes (alcohol alternatives)","https://www.apothekary.com","Shizu Okusa","https://www.linkedin.com/in/shizu-okusa-87a25415","unknown","@apothekary_","enrich","Bootstrapped to ~$25M ARR with no venture funding - which means performance marketing (Meta/TikTok) is the growth engine, and they almost certainly buy creative heavily. Founder-led, DTC-first, growth-stage. Strong in-band fit on an efficiency basis.","Shizu bootstrapped Apothékary to ~$25M ARR with zero VC, leaning on Ayurveda/TCM herbal storytelling and her 'Rosé-Tinted Glasses' alcohol-alternative SKU. An opener noting that a bootstrapped DTC at that scale lives or dies on UGC creative efficiency is highly relevant to her economics."
"B","medium","Atlas Coffee Club (Atlas+ Superblend)","Mushroom coffee superblend (collagen, probiotics, lion's mane/reishi/cordyceps, ashwagandha)","https://atlascoffeeclub.com","Michael Shewmake (co-founder/CEO), Jordan Rosenacker (co-founder)","https://www.linkedin.com/in/michaelshewmake/","unknown","@atlascoffeeclub","enrich","Austin TX. Established coffee-subscription business (~8-figure ARR, 10K+ subscribers) that launched Atlas+ mushroom superblend as a new functional line in 2024-25 (named a 'best beverage of 2025'). Proven DTC operator entering the functional segment - exactly the kind of brand ramping paid spend on a new SKU.","Atlas+ is a brand-new functional line bolted onto an existing 8-figure coffee subscription - they have the budget and the audience but are early in building functional-category creative, so a pitch focused on launching/scaling Atlas+ specifically (not their core club) is timely."
"B","medium","Beam","Sleep supplement (Dream Powder) + wellness","https://shopbeam.com/","Kevin Moran & Matt Lombardi","https://www.linkedin.com/in/kevin-moran-beam/","unknown","@beam","enrich","Raised $5M Series A (Obvious Ventures) + ~$10.5M Series B; subscription-first DTC; flagship Dream Powder sleep product. Athlete-backed (Baker Mayfield, Danica Patrick). Solid growth-stage spender.","Dream Powder's hero creative is the viral hot-cocoa-before-bed ritual shot - extremely UGC-friendly. Founders are former pro athletes (Boston College, Ironman training) - a recovery/sleep performance angle with athlete-creator UGC is a natural extension they may be underexploiting on cold traffic."
"B","medium","BPN (Strong Greens)","Greens & superfood powder (performance/athlete)","https://www.bareperformancenutrition.com","Nick Bare","https://www.linkedin.com/in/nick-bare","@nickbarefitness","@bareperformancenutrition","enrich","Bare Performance Nutrition founded 2012 by ex-Army officer Nick Bare. Strong Greens is the greens SKU within a performance-supplement line. Founder has a huge personal YouTube/IG following ('Go One More'), drives meaningful DTC + paid-social volume - growth-stage, founder-as-the-brand.","Nick Bare IS the brand - a hyper-engaged founder-creator with a military discipline narrative and massive owned audience. Strong Greens is positioned as 'performance-grade' greens for athletes rather than a wellness/aesthetic angle. Founder-led athlete-routine UGC ('what I drink every morning') is a natural fit and he already lives in that content style."
"B","medium","Curious Elixirs","Non-alcoholic craft cocktails with functional botanicals/adaptogens","https://curiouselixirs.com","John Wilfred (JW) Wiseman","https://www.linkedin.com/in/jwwiseman","unknown","@curiouselixirs","enrich","Bootstrapped from a 2016 Kickstarter to ~$47M cumulative revenue over five years, DTC-heavy with subscription. Founder-led and independent; relies on paid social for acquisition. Mid-tier challenger, plausibly in-band given DTC scale.","JW Wiseman bootstrapped Curious Elixirs from a $37K Kickstarter to ~$47M cumulative revenue, subscription-first - meaning retention and CAC ride on creative. An opener referencing the bootstrap-to-$47M journey and subscription model as a UGC efficiency play is specific."
"B","medium","De Soi","Adaptogen non-alcoholic sparkling aperitif (reishi, L-theanine, ashwagandha)","https://drinkdesoi.com","Morgan McLachlan","https://www.linkedin.com/in/morgan-mclachlan","unknown","@desoi","enrich","Co-founded by master distiller Morgan McLachlan and Katy Perry; raised ~$4M seed (Willow Growth, CAA) and is in retail (Target) plus DTC. Mid-tier celebrity-adjacent challenger that still actively runs paid social. Plausibly in-band, slightly celebrity-subsidized.","Morgan McLachlan is the master-distiller operator behind the brand while Katy Perry is the face - the actual product/craft story is under-told in ads. An opener proposing 'craft + function' UGC that shifts focus from celebrity to the adaptogen formulation is differentiated."
"B","medium","Earth & Star","Functional mushroom coffee (RTD cold brew lattes, organic ground coffee, black coffee)","https://earthandstar.com","Zoe Sakoutis (co-founder), Erica Huss (co-founder)","https://www.linkedin.com/in/zoe-sakoutis-b1a3a91/","unknown","@earthandstar","enrich","Launched 2020 by the BluePrint Cleanse co-founders (who sold BluePrint in 2013) - experienced, well-connected CPG founders. Expanding 'mushroom platform' across RTD lattes, ground coffee, chocolates, tinctures. Growth-stage DTC with the founder pedigree and category to justify mid-tier paid spend.","The founders previously built and exited BluePrint Cleanse, so they understand DTC scaling - a pitch acknowledging their second-act 'mushroom platform' expansion (RTD cold brew + ground coffee + chocolate) and the creative volume needed to launch each SKU resonates."
"B","medium","Earth Echo Foods (Cacao Bliss / Reds)","Functional cacao & superfood powders (reds/greens-adjacent)","https://earthechofoods.com","Danette May","unknown","unknown","@earthechofoods","enrich","Boulder CO brand founded by celebrity fitness trainer Danette May (100M+ social reach via The Rise Movement). Cacao Bliss is a ceremonial-cacao superfood drink mix sold DTC; broad funnel/VSL-style paid-social operation. Influencer-founder-led functional consumable squarely in the spend tier.","Earth Echo recently repositioned Cacao Bliss as a 'natural GLP-1 superfood alternative' for appetite control (press April 2026) - riding the Ozempic-adjacent wave. That hot new angle is begging for testimonial/before-after UGC. Founder Danette May has a massive built-in audience to seed creators from."
"B","medium","Ghia","Non-alcoholic botanical aperitif (mood/relaxation positioning)","https://drinkghia.com","Mélanie Masarin","https://www.linkedin.com/in/melaniemasarin/","unknown","@drinkghia","enrich","Ex-Glossier/Dig founder, angel-backed (Emily Weiss et al.), now with a Pernod Ricard minority stake at a ~$50M 2024 valuation. Strong brand/DTC marketing machine and active paid social. Note: Ghia explicitly avoids adaptogen claims, so it is functional-adjacent rather than pure-functional - included with that caveat.","Mélanie came from Glossier's brand team, so Ghia's aesthetic is best-in-class but deliberately non-functional/no-adaptogen-claims. An opener acknowledging her Glossier pedigree while proposing relatable 'aperitivo ritual' UGC (vs. polished brand film) is well-targeted."
"B","medium","Heights","Braincare nootropic supplements (Vitals+, Smart Probiotic)","https://yourheights.com/","Dan Murray-Serter & Joel Freeman","https://www.linkedin.com/in/danmurrayserter/","unknown","@yourheights","enrich","UK braincare brand, ~£10M ARR, ~30K monthly subscriptions, £35M valuation, £6M+ raised on Seedrs. Subscription DTC model that fits the $20-100K/mo paid-social band.","Co-founder Dan Murray-Serter is an extremely active content creator/podcaster (built the community before the product) and has publicly said he wishes he'd 'sacked off NFTs' - a founder who clearly values content. Their education-first 'braincare category' positioning could be amplified with sharper UGC proof-of-effect creative."
"B","medium","Jocko Fuel (Jocko Greens)","Greens & superfood powder (performance/athlete)","https://jockofuel.com","Jocko Willink (with Origin USA)","unknown","@jockowillink","@jockofuel","enrich","Jocko Greens is a 23-superfood organic greens powder under the Jocko Fuel line, built with Maine-based Origin USA. Founder Jocko Willink (retired Navy SEAL) has an enormous podcast/audience and the brand runs broad DTC + retail. Performance-positioned greens challenger with a celebrity-founder engine.","Jocko Greens rides a discipline/SEAL-mindset brand identity ('Discipline Equals Freedom') totally distinct from the women's-wellness greens crowd - the creative gap is masculine, performance-driven UGC vs the soft aesthetic that dominates the category. Jocko's own audience is a ready creator pool."
"B","medium","Live Conscious (Beyond Greens)","Greens & superfood powder (matcha-based)","https://weliveconscious.com","unknown","unknown","unknown","@weliveconscious","enrich","Burbank CA brand (formerly LiveWell Labs), in market since 2014. Beyond Greens is a matcha-forward 'debloating' greens powder with 40+ superfoods. Established DTC + Amazon operation under Scale Media umbrella, well-funded performance-marketing apparatus - solidly in or above the target spend tier.","Beyond Greens' entire angle is 'delicious debloating' matcha greens (not grassy AG1-style) - a differentiated taste/debloat hook. Their reviews repeatedly say it 'should go back to basics,' suggesting messaging confusion that fresh UGC focused on the debloat-after-meals benefit could sharpen. Founder not publicly named (Scale Media operated) - enrich."
"B","medium","Mindright","Nootropic + adaptogen focus/mood products (beverage enhancers, snacks)","https://getmindright.com","Chris Bernard & Rob Dyrdek","unknown","unknown","@getmindright","enrich","Celebrity-backed (Rob Dyrdek co-founder; Joe Jonas, Travis Barker, Marcus Lemonis investors), DTC nootropic brand with active paid social. Mid-tier challenger; spend likely in-band though smaller raise (~$250-500K disclosed) creates some uncertainty.","Mindright is co-founded by Rob Dyrdek and leans on celebrity backers, but its 'Ultra Focus, Clarity & Drive' positioning suits performance/gamer/creator UGC it doesn't fully exploit. Opener can reference the Dyrdek connection plus the focus-drive angle for niche-creator UGC."
"B","medium","Mushroom Revival","Functional mushroom capsules, tinctures & gummies (USDA organic)","https://www.mushroomrevival.com/","Alex Dorr","https://www.linkedin.com/in/mushroomrevival/","unknown","@mushroomrevival","enrich","Austin-based, founder-led mycologist, built first/largest USDA-organic cordyceps farm in Americas, world's first USDA-organic mushroom gummies. Top mushroom podcast (#1) drives a content engine. Mid-tier DTC challenger.","Founder Alex Dorr hosts the #1 mushroom podcast in the world and has ~92K social reach - a deeply credible mycologist face. Their content is education-heavy/organic; they likely under-invest in paid UGC, so a 'turn your podcast authority into scroll-stopping cold-traffic creative' angle fits."
